timestamp,city,green_px,orange_px,red_px,darkred_px,congestion_index
2026-03-19 00:00:00,surabaya,4096,0,0,0,0.15
2026-03-19 01:00:00,surabaya,4096,0,0,0,0.171
2026-03-19 02:00:00,surabaya,4096,0,0,0,0.166
2026-03-19 03:00:00,surabaya,4096,0,0,0,0.09
2026-03-19 04:00:00,surabaya,4096,0,0,0,0.136
2026-03-19 05:00:00,surabaya,4096,0,0,0,0.183
2026-03-19 06:00:00,surabaya,3298,798,0,0,0.488
2026-03-19 07:00:00,surabaya,1938,1567,591,0,0.847
2026-03-19 08:00:00,surabaya,2759,1184,153,0,0.719
2026-03-19 09:00:00,surabaya,3596,500,0,0,0.441
2026-03-19 10:00:00,surabaya,3905,191,0,0,0.288
2026-03-19 11:00:00,surabaya,4096,0,0,0,0.195
2026-03-19 12:00:00,surabaya,4096,0,0,0,0.165
2026-03-19 13:00:00,surabaya,4096,0,0,0,0.119
2026-03-19 14:00:00,surabaya,3911,185,0,0,0.278
2026-03-19 15:00:00,surabaya,3449,647,0,0,0.543
2026-03-19 16:00:00,surabaya,3150,797,149,0,0.674
2026-03-19 17:00:00,surabaya,1926,1815,355,0,0.868
2026-03-19 18:00:00,surabaya,3149,868,78,0,0.634
2026-03-19 19:00:00,surabaya,3591,505,0,0,0.403
2026-03-19 20:00:00,surabaya,4096,0,0,0,0.15
2026-03-19 21:00:00,surabaya,4096,0,0,0,0.166
2026-03-19 22:00:00,surabaya,4096,0,0,0,0.067
2026-03-19 23:00:00,surabaya,4096,0,0,0,0.17
2026-03-20 00:00:00,surabaya,4096,0,0,0,0.163
2026-03-20 01:00:00,surabaya,4096,0,0,0,0.138
2026-03-20 02:00:00,surabaya,4096,0,0,0,0.0
2026-03-20 03:00:00,surabaya,4096,0,0,0,0.119
2026-03-20 04:00:00,surabaya,4096,0,0,0,0.165
2026-03-20 05:00:00,surabaya,3985,111,0,0,0.26
2026-03-20 06:00:00,surabaya,3589,507,0,0,0.377
2026-03-20 07:00:00,surabaya,3002,884,210,0,0.72
2026-03-20 08:00:00,surabaya,2648,1246,202,0,0.685
2026-03-20 09:00:00,surabaya,3679,417,0,0,0.428
2026-03-20 10:00:00,surabaya,3803,293,0,0,0.327
2026-03-20 11:00:00,surabaya,4096,0,0,0,0.112
2026-03-20 12:00:00,surabaya,4096,0,0,0,0.156
2026-03-20 13:00:00,surabaya,4004,92,0,0,0.247
2026-03-20 14:00:00,surabaya,3999,97,0,0,0.238
2026-03-20 15:00:00,surabaya,3245,851,0,0,0.505
2026-03-20 16:00:00,surabaya,2794,996,305,0,0.78
2026-03-20 17:00:00,surabaya,1743,1774,579,0,0.905
2026-03-20 18:00:00,surabaya,3119,838,139,0,0.681
2026-03-20 19:00:00,surabaya,3315,781,0,0,0.501
2026-03-20 20:00:00,surabaya,3627,469,0,0,0.374
2026-03-20 21:00:00,surabaya,4096,0,0,0,0.075
2026-03-20 22:00:00,surabaya,4025,71,0,0,0.226
2026-03-20 23:00:00,surabaya,4096,0,0,0,0.159
2026-03-21 00:00:00,surabaya,4096,0,0,0,0.138
2026-03-21 01:00:00,surabaya,3750,346,0,0,0.323
2026-03-21 02:00:00,surabaya,4008,88,0,0,0.241
2026-03-21 03:00:00,surabaya,4096,0,0,0,0.1
2026-03-21 04:00:00,surabaya,4096,0,0,0,0.198
2026-03-21 05:00:00,surabaya,3876,220,0,0,0.28
2026-03-21 06:00:00,surabaya,3658,438,0,0,0.354
2026-03-21 07:00:00,surabaya,3300,796,0,0,0.562
2026-03-21 08:00:00,surabaya,3400,696,0,0,0.51
2026-03-21 09:00:00,surabaya,3591,505,0,0,0.413
2026-03-21 10:00:00,surabaya,3717,379,0,0,0.342
2026-03-21 11:00:00,surabaya,4096,0,0,0,0.147
2026-03-21 12:00:00,surabaya,4090,6,0,0,0.202
2026-03-21 13:00:00,surabaya,4096,0,0,0,0.171
2026-03-21 14:00:00,surabaya,3952,144,0,0,0.267
2026-03-21 15:00:00,surabaya,3904,192,0,0,0.288
2026-03-21 16:00:00,surabaya,3304,792,0,0,0.481
2026-03-21 17:00:00,surabaya,3250,846,0,0,0.596
