timestamp,city,green_px,orange_px,red_px,darkred_px,congestion_index,time,temperature_2m,precipitation,wind_speed_10m,relative_humidity_2m,date,hour,day_name
2026-03-19 00:00:00,surabaya,4096,0,0,0,0.15,2026-03-19 00:00:00,26.3,0.0,7.3,92,2026-03-19,0,Thursday
2026-03-19 01:00:00,surabaya,4096,0,0,0,0.171,2026-03-19 01:00:00,25.9,0.0,8.8,90,2026-03-19,1,Thursday
2026-03-19 02:00:00,surabaya,4096,0,0,0,0.166,2026-03-19 02:00:00,25.2,7.1,6.9,93,2026-03-19,2,Thursday
2026-03-19 03:00:00,surabaya,4096,0,0,0,0.09,2026-03-19 03:00:00,25.0,0.1,7.7,94,2026-03-19,3,Thursday
2026-03-19 04:00:00,surabaya,4096,0,0,0,0.136,2026-03-19 04:00:00,25.0,0.0,5.4,94,2026-03-19,4,Thursday
2026-03-19 05:00:00,surabaya,4096,0,0,0,0.183,2026-03-19 05:00:00,25.0,0.0,4.5,91,2026-03-19,5,Thursday
2026-03-19 06:00:00,surabaya,3298,798,0,0,0.488,2026-03-19 06:00:00,25.3,0.0,5.5,89,2026-03-19,6,Thursday
2026-03-19 07:00:00,surabaya,1938,1567,591,0,0.847,2026-03-19 07:00:00,27.2,0.0,1.8,84,2026-03-19,7,Thursday
2026-03-19 08:00:00,surabaya,2759,1184,153,0,0.719,2026-03-19 08:00:00,28.5,0.0,2.6,79,2026-03-19,8,Thursday
2026-03-19 09:00:00,surabaya,3596,500,0,0,0.441,2026-03-19 09:00:00,29.5,0.1,4.7,74,2026-03-19,9,Thursday
2026-03-19 10:00:00,surabaya,3905,191,0,0,0.288,2026-03-19 10:00:00,30.3,0.2,4.5,71,2026-03-19,10,Thursday
2026-03-19 11:00:00,surabaya,4096,0,0,0,0.195,2026-03-19 11:00:00,30.4,0.2,7.5,71,2026-03-19,11,Thursday
2026-03-19 12:00:00,surabaya,4096,0,0,0,0.165,2026-03-19 12:00:00,30.4,0.0,7.2,72,2026-03-19,12,Thursday
2026-03-19 13:00:00,surabaya,4096,0,0,0,0.119,2026-03-19 13:00:00,31.4,0.1,5.0,66,2026-03-19,13,Thursday
2026-03-19 14:00:00,surabaya,3911,185,0,0,0.278,2026-03-19 14:00:00,30.4,0.1,6.1,68,2026-03-19,14,Thursday
2026-03-19 15:00:00,surabaya,3449,647,0,0,0.543,2026-03-19 15:00:00,28.5,0.1,6.4,76,2026-03-19,15,Thursday
2026-03-19 16:00:00,surabaya,3150,797,149,0,0.674,2026-03-19 16:00:00,28.0,0.1,6.8,77,2026-03-19,16,Thursday
2026-03-19 17:00:00,surabaya,1926,1815,355,0,0.868,2026-03-19 17:00:00,28.0,0.0,2.9,79,2026-03-19,17,Thursday
2026-03-19 18:00:00,surabaya,3149,868,78,0,0.634,2026-03-19 18:00:00,27.4,0.0,2.9,82,2026-03-19,18,Thursday
2026-03-19 19:00:00,surabaya,3591,505,0,0,0.403,2026-03-19 19:00:00,27.8,0.0,3.8,84,2026-03-19,19,Thursday
2026-03-19 20:00:00,surabaya,4096,0,0,0,0.15,2026-03-19 20:00:00,27.9,0.0,1.0,82,2026-03-19,20,Thursday
2026-03-19 21:00:00,surabaya,4096,0,0,0,0.166,2026-03-19 21:00:00,27.4,0.0,5.2,87,2026-03-19,21,Thursday
2026-03-19 22:00:00,surabaya,4096,0,0,0,0.067,2026-03-19 22:00:00,26.9,0.0,6.9,89,2026-03-19,22,Thursday
2026-03-19 23:00:00,surabaya,4096,0,0,0,0.17,2026-03-19 23:00:00,26.4,0.0,7.1,90,2026-03-19,23,Thursday
2026-03-20 00:00:00,surabaya,4096,0,0,0,0.163,2026-03-20 00:00:00,25.8,0.3,9.2,90,2026-03-20,0,Friday
2026-03-20 01:00:00,surabaya,4096,0,0,0,0.138,2026-03-20 01:00:00,24.6,0.1,2.4,96,2026-03-20,1,Friday
2026-03-20 02:00:00,surabaya,4096,0,0,0,0.0,2026-03-20 02:00:00,25.2,0.6,3.1,96,2026-03-20,2,Friday
