time,temperature_2m,precipitation,wind_speed_10m,relative_humidity_2m
2026-05-09 00:00:00,27.9,0.0,13.5,79
2026-05-09 01:00:00,27.8,0.0,9.4,78
2026-05-09 02:00:00,27.5,0.0,6.7,81
2026-05-09 03:00:00,27.5,0.0,5.1,82
2026-05-09 04:00:00,27.3,0.0,4.1,83
2026-05-09 05:00:00,27.0,0.0,4.4,85
2026-05-09 06:00:00,26.3,0.0,6.5,88
2026-05-09 07:00:00,27.5,0.0,5.8,79
2026-05-09 08:00:00,29.4,0.0,2.8,68
2026-05-09 09:00:00,30.9,0.0,3.8,58
2026-05-09 10:00:00,32.0,0.0,7.5,52
2026-05-09 11:00:00,32.2,0.0,10.1,52
2026-05-09 12:00:00,32.2,0.1,10.8,54
2026-05-09 13:00:00,31.9,0.2,10.3,56
2026-05-09 14:00:00,32.4,0.0,9.4,53
2026-05-09 15:00:00,30.9,0.6,8.0,61
2026-05-09 16:00:00,30.5,0.0,4.8,65
2026-05-09 17:00:00,30.3,0.0,4.5,66
2026-05-09 18:00:00,30.0,0.0,4.7,68
2026-05-09 19:00:00,29.6,0.0,4.9,69
2026-05-09 20:00:00,29.7,0.2,6.1,67
2026-05-09 21:00:00,29.2,0.0,7.9,70
2026-05-09 22:00:00,28.5,0.0,9.6,72
2026-05-09 23:00:00,28.5,0.0,8.0,73
2026-05-10 00:00:00,28.3,0.0,5.5,75
2026-05-10 01:00:00,28.0,0.0,5.7,77
2026-05-10 02:00:00,27.6,0.0,5.1,80
2026-05-10 03:00:00,27.1,0.0,5.9,80
2026-05-10 04:00:00,26.5,0.1,5.8,81
2026-05-10 05:00:00,26.1,0.1,5.7,83
2026-05-10 06:00:00,25.8,0.0,5.2,84
2026-05-10 07:00:00,27.1,0.0,3.2,77
2026-05-10 08:00:00,29.0,0.0,1.1,69
2026-05-10 09:00:00,30.4,0.0,2.6,63
2026-05-10 10:00:00,31.8,0.0,6.9,56
2026-05-10 11:00:00,32.5,0.0,10.0,52
2026-05-10 12:00:00,32.8,0.0,11.3,49
2026-05-10 13:00:00,32.5,0.0,10.3,49
2026-05-10 14:00:00,32.8,0.0,10.5,48
2026-05-10 15:00:00,32.1,0.0,12.8,56
2026-05-10 16:00:00,31.0,0.3,14.8,62
2026-05-10 17:00:00,30.2,0.3,15.0,66
2026-05-10 18:00:00,29.7,0.1,15.0,70
2026-05-10 19:00:00,29.2,0.3,15.8,73
2026-05-10 20:00:00,29.0,0.4,15.0,74
2026-05-10 21:00:00,28.8,0.1,14.5,76
2026-05-10 22:00:00,28.5,0.0,12.0,77
2026-05-10 23:00:00,28.2,0.1,12.4,78
2026-05-11 00:00:00,28.0,0.1,11.1,80
2026-05-11 01:00:00,27.8,0.1,9.9,82
2026-05-11 02:00:00,27.5,0.1,8.9,84
2026-05-11 03:00:00,27.4,0.0,7.8,84
2026-05-11 04:00:00,27.0,0.0,6.0,86
2026-05-11 05:00:00,26.9,0.0,4.5,87
2026-05-11 06:00:00,26.9,0.0,4.2,88
2026-05-11 07:00:00,28.4,0.0,6.6,79
2026-05-11 08:00:00,29.9,0.0,11.3,69
2026-05-11 09:00:00,30.4,0.0,11.8,66
2026-05-11 10:00:00,30.8,0.0,11.6,64
2026-05-11 11:00:00,31.5,0.0,12.2,58
2026-05-11 12:00:00,32.2,0.0,11.5,54
2026-05-11 13:00:00,32.0,0.0,11.0,56
2026-05-11 14:00:00,32.3,0.0,13.0,55
2026-05-11 15:00:00,32.0,0.0,11.1,60
2026-05-11 16:00:00,31.5,0.0,15.9,60
2026-05-11 17:00:00,30.2,0.0,15.1,67
2026-05-11 18:00:00,30.0,0.0,15.2,71
2026-05-11 19:00:00,30.0,0.0,14.5,73
2026-05-11 20:00:00,30.0,0.0,12.1,71
2026-05-11 21:00:00,29.8,0.0,11.1,71
2026-05-11 22:00:00,29.5,0.0,11.1,73
2026-05-11 23:00:00,29.2,0.0,10.6,74
